text,predicted_label,manual_label,status
"C'est assez banal, sans originalité ni qualité.",negative,,
"Pas convaincu, la qualité est très moyenne.",negative,,
Le produit est solide et très bien fini.,neutral,,
"Bravo, c'est exactement ce que je cherchais.",positive,,
"J'adore ce produit, il dépasse toutes mes attentes.",neutral,,
"Je suis ravi, ce produit m'a vraiment aidé.",positive,,
"Je suis partagé, mais globalement ce n'est pas convaincant.",negative,,
Le produit est fiable et très pratique au quotidien.,negative,,
"Je recommande fortement, c'est fantastique.",positive,,
"J'ai eu un achat correct, ni bon ni mauvais.",negative,,
Le design est bluffant et la finition est excellente.,positive,,
"La livraison est correcte, mais le packaging reste simple.",negative,,
"Ce produit est vraiment nul, je suis très déçu.",negative,,
"Très déçu, ça ne fonctionne pas comme prévu.",neutral,,
Le produit est simple à utiliser et vraiment agréable.,positive,,
"Je suis enchanté, tout est parfait et fluide.",positive,,
"Le produit fait son job, sans être exceptionnel.",negative,,
Le produit est moyen et manque de qualité.,negative,,
C'est un produit passable mais sans plus.,negative,,
Le produit est satisfaisant sans être remarquable.,negative,,
"Le service est correct, mais j'attendais mieux.",positive,,
C'est agréable mais ne me fait pas envie à l'achat.,negative,,
"Je n'ai pas trouvé ça intéressant, c'est ennuyeux.",negative,,
"C'est acceptable, même si le design n'est pas exceptionnel.",negative,,
"Super expérience, je suis très content du résultat.",positive,,
"La commande est arrivée, mais le produit n'est pas si génial.",negative,,
"Je suis déçu, ça ne correspond pas à la description.",neutral,,
"Je n'ai pas aimé du tout, c'est une mauvaise expérience.",negative,,
"Le produit est honnête, mais pas exceptionnel.",negative,,
Le produit est souvent en rupture et le service est lent.,negative,,
"C'est un excellent rapport qualité/prix, je le recommande.",positive,,
J'ai eu une expérience vraiment agréable depuis le début.,positive,,
"J'ai l'impression que c'est juste correct, sans plus.",positive,,
Le site est lent et l'achat a été compliqué.,negative,,
Le packaging est pauvre et le produit est fragile.,negative,,
"J'ai reçu un article abîmé, c'est inadmissible.",negative,,
"Très bon achat, la qualité est au rendez-vous.",positive,,
"Excellent produit, très satisfait de mon achat.",positive,,
"Je suis très satisfait, le service et la qualité sont top.",positive,,
Le service est impeccable et le produit est génial.,negative,,
Le service client est catastrophique et le produit est en panne.,negative,,
"Très content, j'aime beaucoup la simplicité et la qualité.",positive,,
"Le rapport qualité/prix est honnête, sans être bluffant.",negative,,
