text,predicted_label,manual_label,status
"J'adore ce produit, il est vraiment excellent.",positive,,
"Produit moyen, sans plus, mais fonctionne correctement.",neutral,,
"Très déçu, le produit est en panne dès le premier jour.",negative,,
"Le service client est correct et la livraison est rapide.",positive,,
"Je ne sais pas trop, c'est acceptable mais sans grande qualité.",neutral,,
"Mauvais achat, je ne le recommande pas.",negative,,
"Excellent rapport qualité/prix et très pratique.",positive,,
"C'est un produit correct, ni bon ni mauvais.",neutral,,
"Je suis vraiment déçu par la finition et la qualité.",negative,,
"Très satisfait, je recommande ce produit.",positive,,
"Le produit est honnête mais manque d'originalité.",neutral,,
"Je regrette mon achat, c'est très mauvais.",negative,,
"La qualité est au rendez-vous, super achat.",positive,,
"Le produit fait son travail, sans être exceptionnel.",neutral,,
"Le service est médiocre et le produit est fragile.",negative,,
